Domain_Time,Duration(s)
2023-03-20 10:39:42,2.30219
2023-03-20 10:39:43,2.26324
2023-03-20 10:39:44,2.31679
2023-03-20 10:39:45,2.27815
2023-03-20 10:39:46,2.23224
2023-03-20 10:39:47,2.28498
2023-03-20 10:39:48,2.31083
2023-03-20 10:39:49,2.32648
2023-03-20 10:39:50,2.30419
2023-03-20 10:39:51,2.26739
2023-03-20 10:39:52,2.32887
2023-03-20 10:39:53,2.34388
2023-03-20 10:39:54,2.28808
2023-03-20 10:39:55,2.28418
2023-03-20 10:39:56,2.2683
2023-03-20 10:39:57,2.2979
2023-03-20 10:39:58,2.58057
2023-03-20 10:39:59,2.37792
2023-03-20 10:40:00,2.35509
2023-03-20 10:40:01,2.28477
2023-03-20 10:40:02,2.30605
2023-03-20 10:40:03,2.314
2023-03-20 10:40:04,2.37316
2023-03-20 10:40:05,2.32364
2023-03-20 10:40:06,2.30056
2023-03-20 10:40:07,2.29044
2023-03-20 10:40:08,2.28274
2023-03-20 10:40:09,2.26381
2023-03-20 10:40:10,2.45381
2023-03-20 10:40:11,2.34377
2023-03-20 10:40:12,2.43628
2023-03-20 10:40:13,2.25469
2023-03-20 10:40:14,2.30548
2023-03-20 10:40:15,2.31118
2023-03-20 10:40:16,2.27538
2023-03-20 10:40:17,2.28279
2023-03-20 10:40:18,2.27638
2023-03-20 10:40:19,2.5961
2023-03-20 10:40:20,2.54929
2023-03-20 10:40:21,2.24135
2023-03-20 10:40:22,2.25722
2023-03-20 10:40:23,2.26497
2023-03-20 10:40:24,2.28545
2023-03-20 10:40:25,2.28629
2023-03-20 10:40:26,2.45197
2023-03-20 10:40:27,2.28233
2023-03-20 10:40:28,2.29789
2023-03-20 10:40:29,2.27961
2023-03-20 10:40:30,2.3075
2023-03-20 10:40:31,2.30306
2023-03-20 10:40:32,2.53741
2023-03-20 10:40:33,0.55335
2023-03-20 10:40:34,6.35367
2023-03-20 10:40:35,4.60946
2023-03-20 10:40:36,94.55366
2023-03-20 10:40:37,2.33417
2023-03-20 10:40:38,2.30699
2023-03-20 10:40:39,2.34348
2023-03-20 10:40:40,2.37222
2023-03-20 10:40:41,2.47783
2023-03-20 10:40:42,2.50625
2023-03-20 10:40:43,2.29988
2023-03-20 10:40:44,2.29651
2023-03-20 10:40:45,2.31903
2023-03-20 10:40:46,2.34841
2023-03-20 10:40:47,2.2873
2023-03-20 10:40:48,2.2959
2023-03-20 10:40:49,2.46573
2023-03-20 10:40:50,2.27788
2023-03-20 10:40:51,2.28952
2023-03-20 10:40:52,2.31278
2023-03-20 10:40:53,2.30906
2023-03-20 10:40:54,2.27866
2023-03-20 10:40:55,2.29529
2023-03-20 10:40:56,2.50309
2023-03-20 10:40:57,2.52806
2023-03-20 10:40:58,2.36212
2023-03-20 10:40:59,2.4259
2023-03-20 10:41:00,2.5382
2023-03-20 10:41:01,2.29919
2023-03-20 10:41:02,2.24823
2023-03-20 10:41:03,2.51594
2023-03-20 10:41:04,2.25458
2023-03-20 10:41:05,2.36115
2023-03-20 10:41:06,2.30035
2023-03-20 10:41:07,2.39663
2023-03-20 10:41:08,2.26515
2023-03-20 10:41:09,2.27346
2023-03-20 10:41:10,2.31001
2023-03-20 10:41:11,2.2684
2023-03-20 10:41:12,2.32344
2023-03-20 10:41:13,2.27694
2023-03-20 10:41:14,2.29047
2023-03-20 10:41:15,2.27656
2023-03-20 10:41:16,2.28039
2023-03-20 10:41:17,2.30551
2023-03-20 10:41:18,2.27576
2023-03-20 10:41:19,2.32101
2023-03-20 10:41:20,2.26028
2023-03-20 10:41:21,2.29265
2023-03-20 10:41:22,2.31481
2023-03-20 10:41:23,2.27893
2023-03-20 10:41:24,2.26747
2023-03-20 10:41:25,2.27819
2023-03-20 10:41:26,2.27438
2023-03-20 10:41:27,2.31095
2023-03-20 10:41:28,2.33295
2023-03-20 10:41:29,2.26354
2023-03-20 10:41:30,2.52607
2023-03-20 10:41:31,2.48287
2023-03-20 10:41:32,2.4913
2023-03-20 10:41:33,2.29047
2023-03-20 10:41:34,2.39159
2023-03-20 10:41:35,2.34849
2023-03-20 10:41:36,48.20239
2023-03-20 10:41:37,2.46778
2023-03-20 10:41:38,2.35931
2023-03-20 10:41:39,2.51157
2023-03-20 10:41:40,2.3035
2023-03-20 10:41:41,2.31508
2023-03-20 10:41:42,2.23383
2023-03-20 10:41:43,2.42367
2023-03-20 10:41:44,2.29015
2023-03-20 10:41:45,2.24564
2023-03-20 10:41:46,2.4764
2023-03-20 10:41:47,2.3122
2023-03-20 10:41:48,2.25924
2023-03-20 10:41:49,2.25337
2023-03-20 10:41:50,2.26507
2023-03-20 10:41:51,2.26582
2023-03-20 10:41:52,2.287
2023-03-20 10:41:53,2.26264
2023-03-20 10:41:54,2.32589
2023-03-20 10:41:55,2.28691
2023-03-20 10:41:56,2.25359
2023-03-20 10:41:57,2.27732
2023-03-20 10:41:58,2.22372
2023-03-20 10:41:59,2.24119
2023-03-20 10:42:00,2.28273
2023-03-20 10:42:01,2.22859
2023-03-20 10:42:02,2.25863
2023-03-20 10:42:03,2.48262
2023-03-20 10:42:04,2.29596
2023-03-20 10:42:05,2.25873
2023-03-20 10:42:06,2.22989
2023-03-20 10:42:07,2.71297
2023-03-20 10:42:08,2.30621
2023-03-20 10:42:09,2.26398
2023-03-20 10:42:10,2.28404
2023-03-20 10:42:11,2.26137
2023-03-20 10:42:12,2.23879
2023-03-20 10:42:13,2.27358
2023-03-20 10:42:14,2.31239
2023-03-20 10:42:15,2.28834
2023-03-20 10:42:16,2.32791
2023-03-20 10:42:17,2.23658
2023-03-20 10:42:18,2.30345
2023-03-20 10:42:19,2.31807
2023-03-20 10:42:20,2.26134
2023-03-20 10:42:21,2.2701
2023-03-20 10:42:22,2.28439
2023-03-20 10:42:23,2.29429
2023-03-20 10:42:24,2.55207
2023-03-20 10:42:25,2.30931
2023-03-20 10:42:26,2.36546
2023-03-20 10:42:27,2.2988
2023-03-20 10:42:28,2.27651
2023-03-20 10:42:29,2.32333
2023-03-20 10:42:30,2.29916
2023-03-20 10:42:31,2.53048
2023-03-20 10:42:32,2.34008
2023-03-20 10:42:33,2.32635
2023-03-20 10:42:34,2.27004
2023-03-20 10:42:35,2.50613
2023-03-20 10:42:36,50.76778
2023-03-20 10:42:37,2.26008
2023-03-20 10:42:38,2.27776
2023-03-20 10:42:39,2.2528
2023-03-20 10:42:40,2.45782
2023-03-20 10:42:41,2.3342
2023-03-20 10:42:42,2.33091
2023-03-20 10:42:43,2.255
2023-03-20 10:42:44,2.48081
2023-03-20 10:42:45,2.25456
2023-03-20 10:42:46,2.4996
2023-03-20 10:42:47,2.30608
2023-03-20 10:42:48,2.24375
2023-03-20 10:42:49,2.25747
2023-03-20 10:42:50,2.29399
2023-03-20 10:42:51,2.31447
2023-03-20 10:42:52,2.29688
2023-03-20 10:42:53,2.31667
2023-03-20 10:42:54,2.27315
2023-03-20 10:42:55,2.31717
2023-03-20 10:42:56,2.50832
2023-03-20 10:42:57,2.28827
2023-03-20 10:42:58,2.33747
2023-03-20 10:42:59,2.27145
2023-03-20 10:43:00,2.34501
2023-03-20 10:43:01,2.27535
2023-03-20 10:43:02,2.33387
2023-03-20 10:43:03,2.35601
2023-03-20 10:43:04,2.25442
2023-03-20 10:43:05,2.30804
2023-03-20 10:43:06,2.45243
2023-03-20 10:43:07,2.29923
2023-03-20 10:43:08,2.31719
2023-03-20 10:43:09,2.37091
2023-03-20 10:43:10,2.28797
2023-03-20 10:43:11,2.52439
2023-03-20 10:43:12,2.24948
2023-03-20 10:43:13,2.52887
